id,title,developer1,developer2,developer3,developer4
11260,Pacific Storm Allies,Lesta Studio
11280,Penguins Arena: Sedna's World,Frogames
11330,Obulis,IonFX
11340,Larva Mortus,Rake in Grass
11360,Chains,2DEngine.com
11370,Nikopol: Secrets of the Immortals,White Birds Productions
11390,Crash Time 2,RTL interactive
11450,Overlord&acirc;&#132;&cent;,Triumph Studios
11480,Soldiers: Heroes of World War II,Best Way
11560,Maelstrom: The Battle for Earth Begins,KDV Games
11590,Hospital Tycoon,Deep Red Limited
11610,Dragon Nest,Eyedentity Games Inc.
11900,LUMINES&trade;,Q Entertainment Inc.
11920,LUMINES&trade; Advance Pack,Q Entertainment Inc.
12100,Grand Theft Auto III,Rockstar Games
12110,Grand Theft Auto: Vice City,Rockstar Games
12120,Grand Theft Auto: San Andreas,Rockstar Games
12130,Manhunt,Rockstar North
12140,Max Payne,Remedy Entertainment
12150,Max Payne 2: The Fall of Max Payne,Remedy Entertainment
12160,Midnight Club 2,Rockstar San Diego
12170,Grand Theft Auto,Rockstar North
12180,Grand Theft Auto 2,Rockstar North
12200,Bully: Scholarship Edition,Rockstar New England
12210,Grand Theft Auto IV,Rockstar North,Rockstar Toronto
12220,Grand Theft Auto: Episodes from Liberty City,Rockstar North / Toronto
12310,Culpa Innata,Momentum Digital Media Technologies
12320,Sacred Gold,Ascaron Entertainment ltd.
12330,Darkstar One,Ascaron Entertainment ltd.
12340,Jack Keane,Deck13
12360,FlatOut: Ultimate Carnage,Bugbear Entertainment
12390,Exodus from the Earth ,Parallax Arts Studio
12420,Perimeter 2: New Earth,KDV Games
12430,SlamIt Pinball Big Score,Technetium Games
12440,Ankh 2: Heart of Osiris ,Deck 13
12450,Ankh 3: Battle of the Gods,Deck 13
12460,BC Kings,Mascot Entertainment
12470,Port Royale 2,Ascaron Entertainment ltd.
12480,9th Company: Roots Of Terror,Noviy Disk,Lesta Studios Inc
12500,PuzzleQuest: Challenge of the Warlords,Infinite Interactive
12510,Prison Tycoon 3&acirc;&#132;&cent;: Lockdown,Gamebryo,Virtual Playground
12520,18 Wheels of Steel: American Long Haul,SCS Software
12530,Hunting Unlimited&trade; 2008,SCS Software
12540,Mahjongg Investigations: Under Suspicion,Zemnott
12560,Ride! Carnival Tycoon,Gabriel Entertainment
12570,Hot Dish,Zemnott
12580,Dr. Daisy Pet Vet,Zemnott
12590,Sprint Cars Road to Knoxville,BigAnt Studios
12600,Midnight Outlaw: 6 Hours to SunUp,Merscom,Babylon
12630,Legend - Hand of God,Master Creating
12640,Drakensang,Radon Labs
12670,Mission Runway,Virtual Playground
12690,Hunting Unlimited 2010
12710,Overlord&acirc;&#132;&cent;: Raising Hell,Triumph Studios
12750,GRID&acirc;&#132;&cent;,Codemasters Studios
12770,Rise of the Argonauts,Liquid Entertainment
12790,Damnation,Blue Omega Entertainment
12810,Overlord II,Triumph Studios
12830,Operation Flashpoint: Dragon Rising,Codemasters Studios
12900,AudioSurf,Dylan Fitterer
13000,Ninja Reflex: Steamworks Edition,Sanzaru Games
13140,America's Army 3,U.S. Army
13200,Unreal 2: The Awakening,"Epic Games, Inc."
13210,Unreal Tournament 3 Black,"Epic Games, Inc."
13230,Unreal Tournament 2004: Editor's Choice Edition,"Epic Games, Inc."
13240,Unreal Tournament: Game of the Year Edition,"Epic Games, Inc."
13250,Unreal Gold,"Epic Games, Inc."
13500,Prince of Persia: Warrior Within&trade;,Ubisoft
13520,Far Cry&Acirc;&reg;,Crytek Studios
13530,Prince of Persia: The Two Thrones&trade;,Ubisoft Montreal
13540,Tom Clancy's Rainbow Six&reg; Vegas,Ubisoft Montreal
13560,Tom Clancy's Splinter Cell&Acirc;&reg;,Ubisoft
13570,Tom Clancy's Splinter Cell Chaos Theory&Acirc;&reg;,Ubisoft Montreal
13580,Tom Clancy's Splinter Cell Double Agent&reg;,Ubisoft Montreal
13600,Prince of Persia&reg;: The Sands of Time,Kudosoft
13620,Tom Clancy's Ghost Recon&reg; Desert Siege&trade;,Red Storm Entertainment
13630,Tom Clancy's Ghost Recon&reg; Island Thunder&trade;,Red Storm Entertainment
15000,Tom Clancy's Rainbow Six Lockdown&trade;,Red Storm Entertainment
15080,Rayman Raving Rabbids&trade;,Ubisoft Bulgaria,Ubisoft Montpellier
15100,Assassin's Creed&acirc;&#132;&cent;: Director's Cut Edition,Ubisoft Montreal
15120,Tom Clancy's Rainbow Six&Acirc;&reg; Vegas 2,Ubisoft Montreal
15130,Beyond Good and Evil&trade;,Ubisoft
15140,Petz&reg; Dogz&reg; 2,Ubisoft
15150,Petz&reg; Catz&reg; 2,Ubisoft
15160,Petz&reg; Horsez&reg; 2,Ubisoft
15170,Heroes of Might &amp; Magic V,Nival
15190,Brothers in Arms: Road to Hill 30&acirc;&#132;&cent;,Gearbox Software
15200,Silent Hunter&Acirc;&reg;: Wolves of the Pacific,Ubisoft Romania
15210,Silent Hunter&reg; III,Ubisoft
15230,Blazing Angels&Acirc;&reg; 2: Secret Missions of WWII,Ubisoft
15240,Silent Hunter&reg;: Wolves of the Pacific U-Boat Missions,Ubisoft Romania
15270,Cold Fear&trade;,Darkworks
15300,Tom Clancy's Ghost Recon&Acirc;&reg;,Red Storm Entertainment
15310,The Settlers&Acirc;&reg;: Heritage of Kings,Ubisoft Blue Byte Studio
15320,IL-2 Sturmovik: 1946,1C: Maddox Games
15350,Brain Spa,Ubisoft
15370,Heroes of Might &amp; Magic V: Tribes of the East,Nival
15380,Heroes of Might &amp; Magic V: Hammers of Fate,Nival
15390,Brothers in Arms: Hell's Highway&trade;,Gearbox Software
15400,Harvest: Massive Encounter,Oxeye Game Studio
15500,The Wonderful End of the World,"Dejobaan Games, LLC"
15520,AaAaAA!!! - A Reckless Disregard for Gravity,"Dejobaan Games, LLC"
15522,Aaaaa! - Brutal Concussion,"Dejobaan Games, LLC"
15540,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),"Dejobaan Games, LLC"
15560,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,"Dejobaan Games, LLC",Owlchemy Labs
15620,"Warhammer&Acirc;&reg; 40,000&acirc;&#132;&cent;: Dawn of War&Acirc;&reg; II",Relic Entertainment
15700,Oddworld: Abe's Oddysee&Acirc;&reg;,Oddworld Inhabitants
15710,Oddworld: Abe's Exoddus&reg;,Oddworld Inhabitants
15740,Oddworld: Munch's Oddysee,Oddworld Inhabitants
15750,Oddworld: Stranger's Wrath HD,Oddworld Inhabitants
15800,Planet Busters,Slam
15900,7 Wonders II,MumboJumbo
15910,Luxor Amun Rising,MumboJumbo
15920,Luxor 2,MumboJumbo
15930,Luxor 3,MumboJumbo
15950,Reaxxion,MumboJumbo
15960,Little Farm,MumboJumbo
15970,Luxor,MumboJumbo
16000,Discovery! A Seek and Find Adventure,MumboJumbo
16020,Samantha Swift and the Hidden Roses of Athena,MumboJumbo
16030,7 Wonders: Treasures of Seven,MumboJumbo
16040,Luxor: Quest for the Afterlife ,MumboJumbo
16060,Samantha Swift and the Golden Touch,MumboJumbo
16100,Virtual Villagers: A New Home,Last Day of Work
16110,Virtual Villagers: The Lost Children,Last Day of Work
16120,Plant Tycoon,Last Day of Work
16130,Fish Tycoon,Last Day of Work
16180,Virtual Villagers - The Secret City,Last Day of Work
16200,Virtual Families,Last Day of Work
16300,Everyday Shooter,Queasy Games
16450,F.E.A.R. 2: Project Origin,Monolith
16465,F.E.A.R. 2: Reborn (DLC),"Monolith Productions, Inc."
16500,Chaos Theory,blurredVision
16600,Trials 2: Second Edition,Redlynx
16620,Monster Trucks Nitro ,Redlynx Ltd
16710,Insecticide Part 1,Crackpot Entertainment
16720,Velvet Assassin,Replay Studios
16730,Legendary,Spark Unlimited
16810,Sid Meier's Civilization IV: Colonization,Firaxis Games
16860,Civilization V: Cradle of Civilization - Mediterranean,Firaxis Games,"Aspyr (Mac, Linux)"
16861,Civilization V: Cradle of Civilization - Asia,Firaxis Games,"Aspyr (Mac, Linux)"
16862,Civilization V: Cradle of Civilization - Americas,Firaxis Games,"Aspyr (Mac, Linux)"
16863,Civilization V: Cradle of Civilization - Mesopotamia,Firaxis Games,"Aspyr (Mac, Linux)"
16866,Civilization V: Explorer&acirc;&#128;&#153;s  Map Pack,Firaxis Games,"Aspyr (Mac, Linux)"
16867,Double Civilization and Scenario Pack: Spain and Inca,Firaxis Games,"Aspyr (Mac, Linux)"
16868,Sid Meier&acirc;&#128;&#153;s Civilization&Acirc;&reg; V: Babylon (Nebuchadnezzar II),Firaxis Games,"Aspyr (Mac, Linux)"
16870,Sid Meier's Civilization V - Gods and Kings,Firaxis Games,"Aspyr (Mac, Linux)"
17080,Tribes: Ascend,Hi-Rez Studios
17097,Tribes: Ascend - Ultimate Weapons Pack,Hi-Rez Studios
17100,Children of the Nile: Enhanced Edition,"Tilted Mill Entertainment, Inc."
17120,Children of the Nile: Alexandria,"Tilted Mill Entertainment, Inc."
17140,Hinterland,"Tilted Mill Entertainment, Inc."
17180,Mosby's Confederacy,"Tilted Mill Entertainment, Inc."
17300,Crysis,Crytek
17330,Crysis Warhead&Acirc;&reg;,Crytek
17390,SPORE&acirc;&#132;&cent;,Maxis™
