id,tag
3200,First-Person
3200,Great Soundtrack
3200,Horror
3200,Atmospheric
3200,Multiplayer
3200,Singleplayer
3230,Strategy
3230,Space
3230,Sci-fi
3230,RTS
3260,Puzzle
3260,Adventure
3260,Casual
3260,Point &amp; Click
3260,First-Person
3270,Action
3270,FPS
3270,Shooter
3270,Horror
3270,Singleplayer
3300,Match 3
3300,Puzzle
3300,Casual
3300,Singleplayer
3310,Puzzle
3310,Casual
3310,Match 3
3320,Casual
3320,Simulation
3320,Aliens
3320,Point &amp; Click
3320,Action
3330,Casual
3330,Puzzle
3330,Match 3
3330,Singleplayer
3340,Casual
3340,Puzzle
3350,Match 3
3350,Puzzle
3350,Casual
3350,Singleplayer
3360,Casual
3370,Casual
3370,Word Game
3370,Puzzle
3370,Singleplayer
3370,Family Friendly
3380,Casual
3390,Casual
3390,Arcade
3410,Arcade
3430,Casual
3440,Puzzle
3450,Typing
3450,Education
3460,Puzzle
3470,Casual
3470,Puzzle
3470,Word Game
3480,Casual
3480,Puzzle
3480,Arcade
3480,2D
3480,Singleplayer
3480,Physics
3483,Casual
3483,Puzzle
3483,Free to Play
3500,Hidden Object
3510,Hidden Object
3520,Hidden Object
3530,Hidden Object
3530,Puzzle
3540,Casual
3540,Puzzle
3540,Singleplayer
3540,2D
3560,Match 3
3560,Puzzle
3560,Casual
3570,Hidden Object
3580,Hidden Object
3590,Tower Defense
3590,Zombies
3590,Strategy
3590,Casual
3590,Singleplayer
3590,Comedy
3590,Family Friendly
3590,2D
3590,Puzzle
3590,Indie
3590,Cute
3590,Great Soundtrack
3590,Funny
3590,Touch-Friendly
3590,Survival
3590,Tactical
3590,Classic
3590,Action
3590,Adventure
3590,Post-apocalyptic
3600,Hidden Object
3600,Puzzle
3600,Casual
3600,Adventure
3600,Point &amp; Click
3610,Hidden Object
3620,Casual
3620,Action
3620,Singleplayer
3620,Puzzle
3620,Match 3
3630,Casual
3630,Word Game
3630,Puzzle
3700,Action
3700,Sniper
3700,Stealth
3700,World War II
3700,Third-Person Shooter
3700,Singleplayer
3700,Shooter
3700,Third Person
3700,FPS
3700,Multiplayer
3700,War
3700,Classic
3710,Action
3710,FPS
3710,First-Person
3710,Cyberpunk
3710,Singleplayer
3710,Shooter
3710,Sci-fi
3710,Gore
3710,Classic
3720,Strategy
3720,Base-Building
3720,Villain Protagonist
3720,Comedy
3720,Singleplayer
3720,Simulation
3720,Parody 
3720,Stylized
3720,RTS
3720,Management
3720,Funny
3720,Real-Time with Pause
3720,Classic
3720,Building
3720,Great Soundtrack
3730,FPS
3730,Action
3730,Classic
3730,Horror
3730,Aliens
3730,Sci-fi
3730,Shooter
3730,Multiplayer
3730,Retro
3730,First-Person
3730,Singleplayer
3730,Atmospheric
3730,Gore
3800,Action
3800,Sci-fi
3800,Story Rich
3800,Great Soundtrack
3800,Third-Person Shooter
3800,Singleplayer
3810,Action
3810,Vampire
3810,Female Protagonist
3810,Third Person
3810,Horror
3810,Singleplayer
3810,Gore
3810,Hack and Slash
3820,Action
3820,Vampire
3820,Female Protagonist
3820,Gore
3820,Third Person
3820,Horror
3820,Hack and Slash
3820,Singleplayer
3830,Platformer
3830,Comedy
3830,Adventure
3830,Cult Classic
3830,Action
3830,Singleplayer
3830,Third Person
3830,Funny
3830,3D Platformer
3830,Psychological
3830,Classic
3830,Story Rich
3830,Exploration
3830,Surreal
3830,Great Soundtrack
3830,Cartoony
3830,Action-Adventure
3830,Indie
3830,Cute
3830,3D Vision
3838,Action
3838,Soundtrack
3839,Action
3839,Soundtrack
3900,Strategy
3900,Turn-Based Strategy
3900,Turn-Based
3900,4X
3900,Historical
3900,Multiplayer
3900,Singleplayer
3900,Moddable
3900,Classic
3900,Grand Strategy
3900,Replay Value
3900,Great Soundtrack
3900,Simulation
3910,Strategy
3910,Turn-Based Strategy
3910,Turn-Based
3910,4X
3910,Historical
3910,Classic
3910,Singleplayer
3910,Replay Value
3910,Multiplayer
3910,Exploration
3910,Simulation
3910,Military
3910,Grand Strategy
3910,Free to Play
3920,Pirates
3920,Open World
3920,RPG
3920,Adventure
3920,Naval
3920,Singleplayer
3920,Historical
3920,Sandbox
3920,Sailing
3920,Economy
3920,Remake
3920,Strategy
3920,Action
3920,Classic
3920,Trading
3920,Exploration
3960,Strategy
3960,Turn-Based Strategy
3980,Strategy
3980,City Builder
3980,Simulation
3980,Rome
3990,Strategy
3990,Turn-Based
3990,Turn-Based Strategy
3990,4X
3990,Historical
4000,Sandbox
4000,Multiplayer
4000,Funny
4000,Moddable
4000,Building
4000,Co-op
4000,Comedy
4000,First-Person
4000,Simulation
4000,Mod
4000,FPS
4000,Indie
4000,Singleplayer
4000,Online Co-Op
4000,Physics
4000,Action
4000,Shooter
4000,Animation &amp; Modeling
4000,Adventure
4000,Massively Multiplayer
4100,Card Game
4230,Racing
4230,Simulation
4290,Racing
4290,Simulation
4300,Action
4300,Indie
4300,Puzzle
4300,Physics
4300,Robots
4420,RPG
4420,Hack and Slash
4420,Action RPG
4420,Loot
4460,Simulation
4460,Strategy
4460,City Builder
4470,RPG
4470,Hack and Slash
4470,Action RPG
4500,Atmospheric
4500,Post-apocalyptic
4500,Open World
4500,FPS
4500,Survival
4500,Action
4500,RPG
4500,Survival Horror
4500,Shooter
4500,Based On A Novel
4500,Horror
4500,Classic
4500,Moddable
4500,Singleplayer
4500,First-Person
4500,Adventure
4500,Sci-fi
4500,Inventory Management
4500,Difficult
4500,Sandbox
4520,Action
4520,Strategy
4520,Military
4520,Tactical
4530,Strategy
4530,Action
4540,RPG
4540,Hack and Slash
4540,Action RPG
4540,Action
4540,Fantasy
4540,Dungeon Crawler
4540,Co-op
4540,Singleplayer
4540,Isometric
4540,Online Co-Op
4540,Adventure
4540,Loot
4540,Multiplayer
4540,Mythology
4540,Historical
4540,Atmospheric
4540,Classic
4550,RPG
4550,Hack and Slash
4550,Action RPG
4550,Action
4550,Fantasy
4550,Co-op
4550,Loot
4550,Singleplayer
4550,Online Co-Op
4550,Isometric
4550,Multiplayer
4550,Adventure
4550,Dungeon Crawler
4550,Atmospheric
4550,Mythology
4550,Classic
4560,Strategy
4560,RTS
4560,World War II
4560,Multiplayer
4560,Action
4560,Tactical
4560,Military
4560,Singleplayer
4560,Base-Building
4560,War
4560,Tanks
4560,Historical
4560,Moddable
4560,Co-op
4560,Simulation
4560,Adventure
4560,Classic
4560,First-Person
4570,Strategy
4570,Warhammer 40K
4570,RTS
4570,Sci-fi
4570,Multiplayer
4570,Games Workshop
4570,Base-Building
4570,Real-Time
4570,Tactical
4570,Singleplayer
4570,Action
4570,Classic
4580,Strategy
4580,Warhammer 40K
4580,RTS
4580,Sci-fi
4580,Multiplayer
4580,Base-Building
4580,Singleplayer
4580,Games Workshop
4580,Classic
4580,Real-Time
4580,Action
4580,Atmospheric
4580,Fantasy
4580,War
4580,Gore
4580,Co-op
4700,Strategy
4700,Medieval
4700,Historical
4700,Turn-Based Strategy
4700,Grand Strategy
4700,RTS
4700,Tactical
4700,Singleplayer
4700,Moddable
4700,Turn-Based
4700,Multiplayer
4700,War
4700,Classic
4700,Real Time Tactics
4700,Simulation
4700,Military
4700,Action
4700,4X
4700,Sandbox
4700,Great Soundtrack
4720,Horror
4720,Action
4720,Atmospheric
4720,First-Person
4720,Survival Horror
4720,Difficult
4720,FPS
4720,Crime
4720,Psychological Horror
4720,Singleplayer
4720,Gore
4720,Classic
4720,Survival
4760,Strategy
4760,Historical
4760,Rome
4760,Turn-Based Strategy
4760,RTS
4760,Grand Strategy
4760,Classic
4760,Tactical
4760,Multiplayer
4760,Great Soundtrack
4760,Turn-Based
4760,Singleplayer
4760,Moddable
4760,War
4760,Real Time Tactics
4760,Action
4760,4X
4760,Atmospheric
4760,Simulation
4760,Medieval
4770,Strategy
4770,RTS
4770,Historical
4770,Grand Strategy
4770,Rome
4770,Turn-Based
4770,Turn-Based Strategy
4770,Multiplayer
4770,Singleplayer
4780,Strategy
4780,Medieval
4780,Historical
4780,Multiplayer
4780,Singleplayer
4780,Grand Strategy
4780,Moddable
4780,Turn-Based
4780,Turn-Based Strategy
4780,RTS
4800,Strategy
4800,RTS
4800,RPG
4800,Fantasy
4850,Strategy
4850,Classic
4850,RTS
4850,Multiplayer
4850,Historical
4856,Strategy
4870,Strategy
4870,RTS
4880,Strategy
4880,RTS
4880,Historical
4890,Strategy
4890,RTS
4890,Historical
4900,Casual
4900,Indie
4900,Puzzle
4920,Strategy
4920,Multiplayer
4920,FPS
4920,Team-Based
4920,Action
4920,Sci-fi
4920,Indie
4920,RTS
4920,Aliens
4920,Competitive
4920,Moddable
4920,Co-op
4920,Shooter
4920,Tactical
4920,Atmospheric
4920,Space
4920,First-Person
4920,Futuristic
4920,Online Co-Op
4920,Adventure
6000,Star Wars
6000,Action
6000,FPS
6000,Tactical
6000,Sci-fi
6000,Singleplayer
6000,Shooter
6000,Multiplayer
6000,Classic
6000,First-Person
6000,Great Soundtrack
6000,Atmospheric
6000,Space
6000,Adventure
6000,Team-Based
6000,Co-op
6000,War
6000,Strategy
6000,Dark
6010,Adventure
6010,Point &amp; Click
6010,Classic
6010,Singleplayer
6010,1990's
6010,Pixel Graphics
6010,Third Person
6010,Retro
6020,Star Wars
6020,Action
6020,Sci-fi
6020,Multiplayer
6020,Third Person
6020,Singleplayer
6020,FPS
6020,Classic
6020,Adventure
6020,Shooter
6020,Character Customization
6020,Moddable
6020,Swordplay
6020,First-Person
6020,RPG
6020,Third-Person Shooter
6020,Female Protagonist
6020,Great Soundtrack
6020,Hack and Slash
6020,Fighting
6030,Action
6030,Star Wars
6030,Classic
6030,Sci-fi
6030,FPS
6030,Multiplayer
6030,Third Person
6030,Shooter
6030,Third-Person Shooter
6030,Singleplayer
6030,Great Soundtrack
6030,Story Rich
6030,First-Person
6030,Adventure
6030,Cult Classic
6030,Swordplay
6040,Adventure
6040,Point &amp; Click
6040,Sci-fi
6040,Classic
6040,Space
6040,Great Soundtrack
6040,Atmospheric
6040,Pixel Graphics
6040,Singleplayer
6040,Story Rich
6040,Third Person
6040,1990's
6060,Star Wars
6060,Action
6060,Third-Person Shooter
6060,Multiplayer
6060,Sci-fi
6060,Shooter
6060,Space
6060,Classic
6060,FPS
6060,First-Person
6060,Singleplayer
6060,Moddable
6060,Third Person
6060,Military
6060,Tactical
6060,Strategy
6060,Co-op
6060,Adventure
6060,Great Soundtrack
6060,Open World
6080,Strategy
6080,Simulation
6080,Management
6090,Action
6090,Third-Person Shooter
